dataset,document,id,type,sentence,label,sublabel
2,1,19,phase,"P: Ja, guten Morgen.",Beginning,Greeting
2,1,24,phase,"T (glz.): Okay, guten Morgen, Frau Svensson.",Beginning,Greeting
2,1,29,phase,"T (glz.): Schön, dass Sie hier sind, dass das geklappt hat.",Beginning,Greeting
2,1,34,phase,"T (glz.): Ich sehe auch mit dem Link, den ich Ihnen zugesendet habe per Zoom, das freut mich auf jeden Fall.",Beginning,Small talk
2,1,39,phase,T (glz.): Wie geht es Ihnen dazu?,Beginning,Small talk
2,1,44,phase,"P: Ja, prinzipiell gut, aber wir sind einfach sehr besorgt aktuell.",Beginning,Small talk
2,1,49,phase,"P: Wir sind total unzufrieden mit den Noten, die der Michel nach Hause bringt.",Informational,Informational
2,1,54,phase,P: Ich finde es,Informational,Informational
2,1,59,phase,"P: passt nicht zu dem, wie der Michel eigentlich oder was der Michel eigentlich an Leistung bringen kann.",Informational,Informational
2,1,64,phase,P: Er ist eigentlich ja wirklich ein cleverer Kerl.,Informational,Informational
2,1,69,phase,P: Er kann sich so gut Sachen merken.,Informational,Informational
2,1,74,phase,"P: Also wenn er sich für was interessiert, wie diese Bäume und",Informational,Informational
2,1,79,phase,"P: die ganzen Sachen, die sie gerade in HSU machen, da ist das total motiviert und kann sich das alles merken.",Informational,Informational
2,1,84,phase,"P: Aber die Noten, die dann kommen und vor allem auch Deutsch, die dann kommen, die sind so gar nicht das, was wir uns vorstellen.",Informational,Informational
2,1,89,phase,"P: Ich weiß nicht, das ist doch alles irgendwie ein bisschen zu schwer, glaube ich, was sie machen in der Schule.",Informational,Informational
2,1,94,phase,P: Das passt so zu den Kindern.,Informational,Informational
2,1,99,phase,P: Ich kann mir das nicht vorstellen.,Informational,Informational
2,1,104,phase,"T: Okay, ich verstehe.",Informational,Informational
2,1,104,technik,"T: Okay, ich verstehe.",Verbalizing,Undefined attention reaction
2,1,109,phase,P (glz.): Ja.,Informational,Informational
2,1,114,phase,"T: Also Sie meinten ja, dass Sie mit mir gerne über den Übertritt von Michel sprechen möchten.",Beginning,Content frame
2,1,114,technik,"T: Also Sie meinten ja, dass Sie mit mir gerne über den Übertritt von Michel sprechen möchten.",Structuring,Structuring
2,1,119,phase,"T: Ich würde sagen, das ist jetzt auf jeden Fall erstmal unser Hauptfokus in den nächsten acht Minuten, dass wir da versuchen, einfach die beste Lösung natürlich für Ihr Kind, für den Michel zu finden.",Beginning,Zeitlicher Rahmen
2,1,119,technik,"T: Ich würde sagen, das ist jetzt auf jeden Fall erstmal unser Hauptfokus in den nächsten acht Minuten, dass wir da versuchen, einfach die beste Lösung natürlich für Ihr Kind, für den Michel zu finden.",Structuring,Structuring
2,1,124,phase,"T: Und ich würde mich da auf jeden Fall freuen, wenn wir da zusammenarbeiten in der Hinsicht.",Beginning,Content frame
2,1,129,phase,"T: Sie haben jetzt schon erzählt, Sie sehen es jetzt aus Ihrer Sicht so, dass der Michel,",Informational,Informational
2,1,129,technik,"T: Sie haben jetzt schon erzählt, Sie sehen es jetzt aus Ihrer Sicht so, dass der Michel,",Paraphrasing,Paraphrasing
2,1,134,phase,"T: dass zwar eigentlich schon diese Begabung auf jeden Fall ein intelligentes Kind ist und sie sehen natürlich aber auf der anderen Seite, die Noten sind da auf jeden Fall nicht so, wie sie sich das wünschen.",Informational,Informational
2,1,134,technik,"T: dass zwar eigentlich schon diese Begabung auf jeden Fall ein intelligentes Kind ist und sie sehen natürlich aber auf der anderen Seite, die Noten sind da auf jeden Fall nicht so, wie sie sich das wünschen.",Paraphrasing,Paraphrasing
2,1,139,phase,T: Habe ich das richtig verstanden?,Informational,Informational
2,1,144,phase,"P: Wir würden ihn halt schon sehr, sehr gerne aufs Gymnasium schicken.",Informational,Informational
2,1,149,phase,"P: Der Papa von Michel und ich, wir haben beide studiert und das wünschen wir uns auch für Michel, dass er einfach aufs Gymnasium geht und ihm dann wirklich alle Türen offen stehen.",Informational,Informational
2,1,154,phase,"P: Er studieren kann, wenn er meint, er studiert dann nicht, dann macht er es halt nicht, aber er könnte es auf jeden Fall.",Informational,Informational
2,1,159,phase,P: Also er soll irgendwie alle Möglichkeiten haben.,Informational,Informational
2,1,164,phase,"T: Okay, also ich verstehe das dann richtig, der Übertritt, das ist Ihnen dann in der Hinsicht schon sehr wichtig, dass der Michael dann aufs Gymnasium geht, also das ist schon auf jeden Fall bei Ihnen zu Hause dann auch Thema, nehme ich an, oder wie ist da die Situation bei Ihnen daheim, wenn ich mich erinnere?",Informational,Informational
2,1,164,technik,"T: Okay, also ich verstehe das dann richtig, der Übertritt, das ist Ihnen dann in der Hinsicht schon sehr wichtig, dass der Michael dann aufs Gymnasium geht, also das ist schon auf jeden Fall bei Ihnen zu Hause dann auch Thema, nehme ich an, oder wie ist da die Situation bei Ihnen daheim, wenn ich mich erinnere?",Paraphrasing,Paraphrasing
2,1,169,phase,"P: Ja, wir sprechen da viel drüber.",Informational,Informational
2,1,174,phase,P: Wir sagen das dem Michel auch.,Informational,Informational
2,1,179,phase,P: Ich setze mich ja nachmittags viel mit ihm hin und übe die Sachen.,Informational,Informational
2,1,184,phase,P: Wir gucken dann nochmal in diese Merkhefte und was sie da alles haben und wiederholen das nochmal.,Informational,Informational
2,1,189,phase,P: Und ich übe das mit ihm.,Informational,Informational
2,1,194,phase,P: Es ist manchmal einfach echt zäh.,Informational,Informational
2,1,199,phase,P: Manche Sachen interessieren ihn einfach nicht.,Informational,Informational
2,1,204,phase,T (glz.): Ja.,Informational,Informational
2,1,204,technik,T (glz.): Ja.,Verbalizing,Undefined attention reaction
2,1,209,phase,"P: Und der Papa, der kommt ja dann spät von der Arbeit und der fragt dann, wie war es in der Schule und was hast du gelernt und so.",Informational,Informational
2,1,214,phase,P: Und da kommt dann immer nicht viel von ihm.,Informational,Informational
2,1,219,phase,"P: Da ist dann immer so, ja, ja, ja.",Informational,Informational
2,1,224,phase,"P: Also den Michael interessiert es irgendwie nicht so doll, wie seine Leistungen so sind.",Informational,Informational
2,1,229,phase,P: Ich weiß nicht.,Informational,Informational
2,1,234,phase,"P: Ich habe auch das Gefühl, dass...",Informational,Informational
